Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint,Type,Your Instructions / Notes
1,U1,1,Espressif Systems,ESP32-C3-MINI-1-H4X,ESP32-C3-MINI-1-H4X,ESP32C3MINI1H4X,SMD,Parts in inventory from previous order G1435622 
2,U2,1,Microchip Technology,MCP73832-2-OT,IC BATT CONTRL LI-ION 1CELL 8DFN,8-VFDFN,SMD,
3,"U3,U4",2,Texas Instruments,DRV8837CDSGR,12-V 1-A H-bridge motor driver,WSON-8,SMD,
4,IC1,1,Microchip Technology,MIC23050-SYML-TR,High Efficiency 600mA Buck Switcher,8-VFDFN,SMD,
5,IC3,1,STMicroelectronics,LM324QT,Op Amps Low Power QUAD 1.3 MHz 100dB,QFN-16,SMD,
6,"S1,S2",2,Panasonic,EVP-AWBD4A,Tactile Switches EVP-AWBD4A,SMD,SMD,
7,S3,1,Mitsumi Electric Company Ltd,SSU-121BRT,SWITCH SLIDE SPDT 0.3A 4V,SMD,SMD,
8,J1,1,Amphenol Canada,GSB1C41110SSHR,USB Connectors USB2.0 TYPE C,SMD,SMD,
9,R14,1,YAGEO,RC0402FR-07261RL,RES 261 OHM 1% 1/16W 0402,0402,SMD,
10,R15,1,YAGEO,RC0402FR-071KL,RES 1K OHM 1% 1/16W 0402,0402,SMD,
11,"R13,R12",2,YAGEO,RC0402FR-135K1L,RES 5.1K OHM 1% 1/16W 0402,0402,SMD,
12,"R25,R19,R22,R21,R20",5,YAGEO,RC0402FR-0710KL,RES 10K OHM 1% 1/16W 0402,0402,SMD,
13,"R9,R5",2,YAGEO,RC0402FR-0712KL,RES 12K OHM 1% 1/16W 0402,0402,SMD,
14,"R17,R8,R18",3,YAGEO,RC0402FR-07390KL,RES 390K OHM 1% 1/16W 0402,0402,SMD,
15,"R4,R6,R3,R2,R10",5,YAGEO,RC0402FR-071ML,RES 1M OHM 1% 1/16W 0402,0402,SMD,
16,"R7,R11,R1",3,YAGEO,RC0402FR-074M7L,RES 4.7M OHM 1% 1/16W 0402,0402,SMD,
17,C10,1,Murata Electronics,GRM1555C1H561JA01D,CAP CER 560PF 50V C0G/NP0 0402,0402,SMD,
18,"C6,C7",2,Murata Electronics,GRM1555C1H102JA01D,CAP CER 1000PF 50V C0G/NP0 0402,0402,SMD,
19,"C18,C3,C17,C5,C13,C15,C14,C1,C2,C4",10,Murata Electronics,GRM155R71C104KA88J,CAP CER 0.1 uF 16 VDC 10% 0402 X7R,0402,SMD,
20,"C12,C11",2,Murata Electronics,GCM155C71A105KE38D,CAP CER 1UF 10V X7S 0402,0402,SMD,
21,"C8,C16,C9",3,Murata Electronics,GRM155R60J475ME47D,CAP CER 4.7UF 6.3V X5R 0402,0402,SMD,
22,D1,1,Good-Ark Semiconductor,GSDH3005,DIODE SCHOTTK 30V 500MA DFN10062,0402,SMD,
23,"D2, D3",2,Harvatek Corporation,B2841USD-20D001014U1930,LED RED DIFFUSED 0402 SMD,0402,SMD,
24,L1,1,TKD,MLZ2012N1R0LT000,Power Inductors - SMD 1 UH 20%,0805,SMD,