X (mm),Y (mm),Z (mm),EM0_Mag,EM0_Az,EM1_Mag,EM1_Az,EM2_Mag,EM2_Az,EM3_Mag,EM3_Az,EM4_Mag,EM4_Az,EM5_Mag,EM5_Az,EM6_Mag,EM6_Az,EM7_Mag,EM7_Az,EM8_Mag,EM8_Az,EM9_Mag,EM9_Az,EM10_Mag,EM10_Az,EM11_Mag,EM11_Az
300.00,192.86,40.00,0.000988,48.26,0.000742,350.76,0.000568,31.10,0.002760,150.89,0.005106,73.83,0.002850,79.56,0.001423,335.68,0.000816,225.05,0.000760,344.05,0.014176,230.36,0.021773,126.44,0.015454,291.25
0.00,214.29,40.00,0.002057,206.16,0.003866,104.23,0.002111,99.25,0.000882,306.45,0.000708,182.52,0.000519,145.68,0.025105,120.08,0.033647,36.48,0.028101,241.70,0.001509,17.74,0.000817,303.46,0.000796,191.66
21.43,214.29,40.00,0.002049,187.62,0.004012,94.09,0.002176,92.66,0.000991,302.64,0.000832,178.11,0.000596,143.45,0.025751,162.55,0.043236,72.47,0.035647,261.25,0.001823,19.27,0.001000,306.00,0.000970,192.63
42.86,214.29,40.00,0.002050,168.59,0.003996,83.87,0.002168,86.01,0.001113,298.30,0.000983,173.31,0.000686,140.95,0.025806,206.17,0.041955,115.81,0.034643,282.99,0.002233,21.08,0.001245,308.94,0.001201,193.78
64.29,214.29,40.00,0.002058,150.28,0.003819,73.78,0.002091,79.46,0.001247,293.34,0.001168,168.08,0.000792,138.14,0.024567,247.68,0.031221,149.08,0.026177,301.61,0.002778,23.28,0.001581,312.36,0.001516,195.15
85.71,214.29,40.00,0.002055,133.62,0.003516,64.02,0.001956,73.18,0.001391,287.62,0.001391,162.38,0.000916,135.00,0.020174,279.17,0.020174,170.82,0.017313,315.00,0.003516,25.98,0.002054,316.38,0.001956,196.82
107.14,214.29,40.00,0.002018,119.02,0.003137,54.76,0.001783,67.29,0.001541,280.99,0.001658,156.15,0.001059,131.47,0.015110,299.17,0.012645,185.95,0.011125,324.16,0.004538,29.38,0.002745,321.16,0.002588,198.89
128.57,214.29,40.00,0.001941,106.49,0.002730,46.09,0.001592,61.86,0.001691,273.25,0.001973,149.36,0.001222,127.50,0.011000,311.80,0.008118,197.23,0.007306,330.52,0.005978,33.81,0.003788,326.93,0.003528,201.50
150.00,214.29,40.00,0.001828,95.82,0.002334,38.05,0.001402,56.93,0.001828,264.18,0.002334,141.95,0.001402,123.07,0.008041,320.23,0.005430,206.02,0.004980,335.10,0.008041,39.77,0.005430,333.98,0.004980,204.90
171.43,214.29,40.00,0.001691,86.75,0.001973,30.64,0.001222,52.50,0.001941,253.51,0.002730,133.91,0.001592,118.14,0.005978,326.19,0.003788,213.07,0.003528,338.50,0.011000,48.20,0.008118,342.77,0.007306,209.48
192.86,214.29,40.00,0.001541,79.01,0.001658,23.85,0.001059,48.53,0.002018,240.98,0.003137,125.24,0.001783,112.71,0.004538,330.62,0.002745,218.84,0.002588,341.11,0.015110,60.83,0.012645,354.05,0.011125,215.84
214.29,214.29,40.00,0.001391,72.38,0.001391,17.62,0.000916,45.00,0.002055,226.38,0.003516,115.98,0.001956,106.82,0.003516,334.02,0.002055,223.62,0.001956,343.18,0.020174,80.83,0.020174,9.17,0.017313,225.00
235.71,214.29,40.00,0.001247,66.66,0.001168,11.92,0.000792,41.85,0.002058,209.72,0.003819,106.22,0.002091,100.54,0.002778,336.72,0.001581,227.64,0.001516,344.85,0.024567,112.32,0.031221,30.92,0.026177,238.39
257.14,214.29,40.00,0.001113,61.70,0.000983,6.69,0.000686,39.05,0.002050,191.41,0.003996,96.13,0.002168,93.99,0.002233,338.92,0.001245,231.06,0.001201,346.22,0.025806,153.83,0.041955,64.19,0.034643,257.01
278.57,214.29,40.00,0.000991,57.36,0.000832,1.89,0.000596,36.55,0.002049,172.38,0.004012,85.91,0.002176,87.34,0.001823,340.73,0.001000,234.00,0.000970,347.37,0.025751,197.45,0.043236,107.53,0.035647,278.75
300.00,214.29,40.00,0.000882,53.55,0.000708,357.48,0.000519,34.31,0.002057,153.84,0.003866,75.77,0.002111,80.75,0.001509,342.26,0.000817,236.54,0.000796,348.34,0.025105,239.92,0.033647,143.52,0.028101,298.30
0.00,235.71,40.00,0.001579,203.73,0.003002,102.70,0.001614,98.30,0.000785,301.44,0.000669,176.52,0.000472,142.70,0.046021,107.54,0.048913,357.24,0.053061,228.81,0.001571,10.99,0.000815,291.05,0.000822,187.24
21.43,235.71,40.00,0.001574,186.89,0.003094,93.65,0.001653,92.39,0.000871,297.44,0.000778,172.11,0.000536,140.39,0.049868,161.46,0.071871,37.54,0.078722,255.96,0.001912,11.95,0.000998,292.73,0.001007,187.85
42.86,235.71,40.00,0.001574,169.68,0.003084,84.53,0.001649,86.42,0.000964,292.92,0.000909,167.36,0.000610,137.83,0.049918,208.41,0.068477,156.11,0.074916,290.56,0.002362,13.10,0.001243,294.68,0.001257,188.58
64.29,235.71,40.00,0.001580,153.02,0.002972,75.51,0.001601,80.54,0.001064,287.78,0.001064,162.22,0.000695,135.00,0.043918,263.14,0.043918,186.86,0.047510,315.00,0.002972,14.49,0.001580,296.98,0.001601,189.46
85.71,235.71,40.00,0.001581,137.64,0.002778,66.72,0.001516,74.85,0.001168,281.92,0.001247,156.66,0.000792,131.85,0.031221,300.92,0.024567,202.32,0.026177,328.39,0.003819,16.22,0.002058,299.72,0.002091,190.54
107.14,235.71,40.00,0.001564,123.92,0.002527,58.30,0.001405,69.44,0.001272,275.19,0.001459,150.65,0.000901,128.37,0.020692,319.00,0.014049,213.24,0.014761,336.04,0.005029,18.43,0.002761,303.02,0.002814,191.89
128.57,235.71,40.00,0.001522,111.93,0.002248,50.32,0.001279,64.40,0.001370,267.43,0.001700,144.16,0.001020,124.51,0.013825,328.67,0.008575,221.48,0.008909,340.82,0.006813,21.34,0.003840,307.08,0.003932,193.63
150.00,235.71,40.00,0.001456,101.54,0.001967,42.82,0.001148,59.74,0.001456,258.46,0.001967,137.18,0.001148,120.26,0.009535,334.63,0.005584,227.88,0.005753,344.05,0.009535,25.37,0.005584,312.12,0.005753,195.95
171.43,235.71,40.00,0.001370,92.57,0.001700,35.84,0.001020,55.49,0.001522,248.07,0.002248,129.68,0.001279,115.60,0.006813,338.66,0.003840,232.92,0.003932,346.37,0.013825,31.33,0.008575,318.51,0.008909,199.18
192.86,235.71,40.00,0.001272,84.81,0.001459,29.35,0.000901,51.63,0.001564,236.08,0.002527,121.70,0.001405,110.56,0.005029,341.57,0.002761,236.98,0.002814,348.11,0.020692,41.00,0.014049,326.76,0.014761,203.96
214.29,235.71,40.00,0.001168,78.08,0.001247,23.34,0.000792,48.14,0.001581,222.36,0.002778,113.28,0.001516,105.15,0.003819,343.78,0.002058,240.28,0.002091,349.46,0.031221,59.08,0.024567,337.68,0.026177,211.61
235.71,235.71,40.00,0.001064,72.22,0.001064,17.78,0.000695,45.00,0.001580,206.98,0.002972,104.49,0.001601,99.46,0.002972,345.51,0.001580,243.02,0.001601,350.54,0.043918,96.86,0.043918,353.14,0.047510,225.00
257.14,235.71,40.00,0.000964,67.08,0.000909,12.64,0.000610,42.17,0.001574,190.32,0.003084,95.47,0.001649,93.58,0.002362,346.90,0.001243,245.32,0.001257,351.42,0.049918,151.59,0.068477,23.89,0.074916,249.44
278.57,235.71,40.00,0.000871,62.56,0.000778,7.89,0.000536,39.61,0.001574,173.11,0.003094,86.35,0.001653,87.61,0.001912,348.05,0.000998,247.27,0.001007,352.15,0.049868,198.54,0.071871,142.46,0.078722,284.04
300.00,235.71,40.00,0.000785,58.56,0.000669,3.48,0.000472,37.30,0.001579,156.27,0.003002,77.30,0.001614,81.70,0.001571,349.01,0.000815,248.95,0.000822,352.76,0.046021,252.46,0.048913,182.76,0.053061,311.19
0.00,257.14,40.00,0.001242,201.69,0.002382,101.48,0.001265,97.52,0.000696,296.72,0.000628,171.14,0.000429,139.93,0.074087,88.28,0.056868,298.08,0.087391,203.20,0.001606,4.14,0.000813,277.99,0.000836,182.73
21.43,257.14,40.00,0.001238,186.28,0.002442,93.29,0.001290,92.16,0.000763,292.56,0.000723,166.78,0.000482,137.58,0.087887,168.45,0.093581,283.83,0.157804,236.31,0.001961,4.50,0.000995,278.65,0.001028,182.96
42.86,257.14,40.00,0.001239,170.59,0.002435,85.06,0.001287,86.76,0.000835,287.90,0.000835,162.10,0.000542,135.00,0.087605,199.07,0.087605,250.93,0.145902,315.00,0.002435,4.94,0.001239,279.41,0.001287,183.24
64.29,257.14,40.00,0.001243,155.32,0.002362,76.90,0.001257,81.42,0.000909,282.64,0.000964,157.08,0.000610,132.17,0.068477,293.89,0.049918,241.59,0.074916,339.44,0.003084,5.47,0.001574,280.32,0.001649,183.58
85.71,257.14,40.00,0.001245,141.06,0.002233,68.92,0.001201,76.22,0.000983,276.69,0.001113,151.70,0.000686,129.05,0.041955,334.19,0.025806,243.83,0.034643,347.01,0.003996,6.13,0.002050,281.41,0.002168,183.99
107.14,257.14,40.00,0.001237,128.15,0.002062,61.20,0.001127,71.24,0.001055,269.92,0.001280,145.92,0.000769,125.64,0.025170,343.64,0.014265,247.60,0.017610,350.54,0.005323,6.98,0.002750,282.74,0.002948,184.51
128.57,257.14,40.00,0.001214,116.69,0.001867,53.83,0.001041,66.54,0.001120,262.21,0.001466,139.75,0.000857,121.91,0.015828,347.86,0.008594,250.91,0.010019,352.57,0.007331,8.12,0.003825,284.38,0.004178,185.19
150.00,257.14,40.00,0.001175,106.61,0.001664,46.84,0.000950,62.15,0.001175,253.39,0.001664,133.16,0.000950,117.85,0.010513,350.28,0.005570,253.54,0.006248,353.88,0.010513,9.72,0.005570,286.46,0.006248,186.12
171.43,257.14,40.00,0.001120,97.79,0.001466,40.25,0.000857,58.09,0.001214,243.31,0.001867,126.17,0.001041,113.46,0.007331,351.88,0.003825,255.62,0.004178,354.81,0.015828,12.14,0.008594,289.09,0.010019,187.43
192.86,257.14,40.00,0.001055,90.08,0.001280,34.07,0.000769,54.36,0.001237,231.85,0.002062,118.80,0.001127,108.76,0.005323,353.02,0.002750,257.26,0.002948,355.49,0.025170,16.36,0.014265,292.40,0.017610,189.46
214.29,257.14,40.00,0.000983,83.31,0.001113,28.30,0.000686,50.95,0.001245,218.94,0.002233,111.08,0.001201,103.78,0.003996,353.87,0.002050,258.59,0.002168,356.01,0.041955,25.81,0.025806,296.17,0.034643,192.99
235.71,257.14,40.00,0.000909,77.36,0.000964,22.92,0.000610,47.83,0.001243,204.68,0.002362,103.10,0.001257,98.58,0.003084,354.53,0.001574,259.68,0.001649,356.42,0.068477,66.11,0.049918,298.41,0.074916,200.56
257.14,257.14,40.00,0.000835,72.10,0.000835,17.90,0.000542,45.00,0.001239,189.41,0.002435,94.94,0.001287,93.24,0.002435,355.06,0.001239,260.59,0.001287,356.76,0.087605,160.93,0.087604,289.07,0.145902,225.00
278.57,257.14,40.00,0.000763,67.44,0.000723,13.22,0.000482,42.42,0.001238,173.72,0.002442,86.71,0.001290,87.84,0.001961,355.50,0.000995,261.35,0.001028,357.04,0.087887,191.55,0.093581,256.17,0.157804,303.69
300.00,257.14,40.00,0.000696,63.28,0.000628,8.86,0.000429,40.07,0.001242,158.31,0.002382,78.52,0.001265,82.48,0.001606,355.86,0.000813,262.01,0.000836,357.27,0.074087,271.72,0.056868,241.92,0.087391,336.80
0.00,278.57,40.00,0.000997,199.96,0.001925,100.47,0.001013,96.88,0.000616,292.26,0.000587,166.30,0.000389,137.37,0.078098,279.31,0.056845,251.85,0.092348,164.05,0.001609,357.24,0.000813,264.66,0.000837,178.18
21.43,278.57,40.00,0.000995,185.77,0.001966,93.00,0.001030,91.97,0.000669,287.99,0.000669,162.01,0.000433,135.00,0.093962,188.22,0.093963,261.78,0.171409,135.00,0.001966,357.00,0.000995,264.23,0.001030,178.03
42.86,278.57,40.00,0.000995,171.35,0.001961,85.50,0.001028,87.04,0.000723,283.22,0.000763,157.44,0.000482,132.42,0.093581,166.17,0.087886,281.55,0.157804,33.69,0.002442,356.71,0.001238,263.72,0.001290,177.84
64.29,278.57,40.00,0.000998,157.27,0.001912,78.05,0.001007,82.15,0.000778,277.89,0.000871,152.56,0.000536,129.61,0.071871,52.46,0.049868,288.54,0.078722,14.04,0.003094,356.35,0.001574,263.11,0.001653,177.61
85.71,278.57,40.00,0.001000,144.00,0.001823,70.73,0.000970,77.37,0.000832,271.89,0.000991,147.36,0.000596,126.55,0.043236,17.53,0.025751,287.45,0.035646,8.75,0.004012,355.91,0.002049,262.38,0.002176,177.34
107.14,278.57,40.00,0.000997,131.83,0.001703,63.63,0.000919,72.76,0.000882,265.13,0.001124,141.83,0.000659,123.23,0.025657,10.98,0.014237,285.00,0.017917,6.34,0.005351,355.34,0.002748,261.49,0.002961,176.99
128.57,278.57,40.00,0.000984,120.88,0.001564,56.78,0.000859,68.37,0.000925,257.50,0.001267,135.96,0.000726,119.64,0.016034,8.12,0.008581,282.79,0.010133,4.97,0.007381,354.58,0.003822,260.38,0.004202,176.53
150.00,278.57,40.00,0.000960,111.13,0.001416,50.24,0.000793,64.23,0.000960,248.87,0.001416,129.75,0.000793,115.77,0.010611,6.49,0.005563,281.01,0.006297,4.09,0.010611,353.51,0.005563,258.99,0.006297,175.91
171.43,278.57,40.00,0.000925,102.50,0.001267,44.04,0.000726,60.36,0.000984,239.12,0.001564,123.22,0.000859,111.63,0.007381,5.42,0.003822,279.62,0.004202,3.47,0.016034,351.88,0.008581,257.21,0.010133,175.03
192.86,278.57,40.00,0.000882,94.87,0.001124,38.17,0.000659,56.77,0.000997,228.17,0.001703,116.37,0.000919,107.24,0.005351,4.66,0.002748,278.51,0.002961,3.01,0.025657,349.02,0.014237,255.00,0.017917,173.66
214.29,278.57,40.00,0.000832,88.11,0.000991,32.64,0.000596,53.45,0.001000,216.00,0.001823,109.26,0.000970,102.63,0.004012,4.09,0.002049,277.62,0.002176,2.66,0.043236,342.47,0.025751,252.55,0.035647,171.25
235.71,278.57,40.00,0.000778,82.11,0.000871,27.44,0.000536,50.39,0.000998,202.73,0.001912,101.95,0.001007,97.85,0.003094,3.65,0.001574,276.89,0.001653,2.39,0.071871,307.54,0.049868,251.46,0.078722,165.96
257.14,278.57,40.00,0.000723,76.78,0.000763,22.56,0.000482,47.58,0.000995,188.65,0.001961,94.50,0.001028,92.96,0.002442,3.29,0.001238,276.28,0.001290,2.16,0.093581,193.83,0.087887,258.45,0.157804,146.31
278.57,278.57,40.00,0.000669,72.01,0.000669,17.99,0.000433,45.00,0.000995,174.23,0.001966,87.00,0.001030,88.02,0.001966,3.00,0.000995,275.77,0.001030,1.97,0.093962,171.78,0.093962,278.22,0.171409,45.00
300.00,278.57,40.00,0.000616,67.74,0.000587,13.70,0.000389,42.63,0.000997,160.04,0.001925,79.53,0.001013,83.12,0.001609,2.76,0.000813,275.33,0.000837,1.82,0.078098,80.69,0.056845,288.15,0.092348,15.95
0.00,300.00,40.00,0.000815,198.48,0.001581,99.62,0.000825,96.34,0.000546,288.06,0.000546,161.94,0.000352,135.00,0.051591,255.47,0.051591,194.53,0.059816,135.00,0.001581,350.38,0.000815,251.52,0.000825,173.66
21.43,300.00,40.00,0.000813,185.33,0.001609,92.76,0.000837,91.82,0.000587,283.70,0.000616,157.74,0.000389,132.63,0.056845,198.15,0.078098,170.68,0.092348,105.95,0.001925,349.53,0.000997,250.04,0.001013,173.12
42.86,300.00,40.00,0.000813,172.01,0.001606,85.86,0.000836,87.27,0.000628,278.86,0.000696,153.28,0.000429,130.07,0.056868,151.92,0.074087,1.72,0.087391,66.80,0.002382,348.52,0.001242,248.31,0.001265,172.48
64.29,300.00,40.00,0.000815,158.95,0.001571,79.01,0.000822,82.76,0.000669,273.48,0.000785,148.56,0.000472,127.30,0.048913,92.76,0.046020,342.46,0.053061,41.19,0.003002,347.30,0.001579,246.27,0.001614,171.70
85.71,300.00,40.00,0.000817,146.54,0.001509,72.26,0.000796,78.34,0.000708,267.48,0.000882,143.55,0.000519,124.31,0.033647,53.52,0.025105,329.92,0.028101,28.30,0.003866,345.77,0.002057,243.84,0.002111,170.75
107.14,300.00,40.00,0.000816,135.05,0.001423,65.68,0.000760,74.05,0.000742,260.76,0.000988,138.26,0.000568,121.10,0.021773,36.44,0.014176,320.36,0.015454,21.25,0.005106,343.83,0.002760,240.89,0.002850,169.56
128.57,300.00,40.00,0.000809,124.59,0.001322,59.30,0.000717,69.94,0.000772,253.24,0.001099,132.69,0.000619,117.65,0.014328,27.65,0.008604,312.99,0.009189,16.93,0.006948,341.25,0.003840,237.27,0.003997,168.02
150.00,300.00,40.00,0.000794,115.18,0.001212,53.17,0.000669,66.04,0.000794,244.82,0.001212,126.83,0.000669,113.96,0.009787,22.33,0.005589,307.25,0.005881,14.04,0.009787,337.67,0.005589,232.74,0.005881,165.96
171.43,300.00,40.00,0.000772,106.76,0.001099,47.31,0.000619,62.35,0.000809,235.41,0.001322,120.70,0.000717,110.06,0.006948,18.75,0.003840,302.73,0.003997,11.98,0.014328,332.35,0.008604,227.01,0.009189,163.07
192.86,300.00,40.00,0.000742,99.24,0.000988,41.74,0.000568,58.90,0.000816,224.95,0.001423,114.32,0.000760,105.94,0.005106,16.17,0.002760,299.11,0.002850,10.44,0.021773,323.56,0.014176,219.64,0.015454,158.75
214.29,300.00,40.00,0.000708,92.52,0.000882,36.45,0.000519,55.68,0.000817,213.46,0.001509,107.74,0.000796,101.66,0.003866,14.23,0.002057,296.16,0.002111,9.25,0.033647,306.48,0.025105,210.08,0.028101,151.70
235.71,300.00,40.00,0.000669,86.52,0.000785,31.44,0.000472,52.70,0.000815,201.05,0.001571,100.99,0.000822,97.24,0.003002,12.70,0.001579,293.73,0.001614,8.30,0.048913,267.24,0.046021,197.54,0.053061,138.81
257.14,300.00,40.00,0.000628,81.14,0.000696,26.72,0.000429,49.93,0.000813,187.99,0.001606,94.14,0.000836,92.73,0.002382,11.48,0.001242,291.69,0.001265,7.52,0.056868,208.08,0.074087,178.28,0.087391,113.20
278.57,300.00,40.00,0.000587,76.30,0.000616,22.26,0.000389,47.37,0.000813,174.67,0.001609,87.24,0.000837,88.18,0.001925,10.47,0.000997,289.96,0.001013,6.88,0.056845,161.85,0.078098,9.31,0.092348,74.05
300.00,300.00,40.00,0.000546,71.94,0.000546,18.06,0.000352,45.00,0.000815,161.52,0.001581,80.38,0.000825,83.66,0.001581,9.62,0.000815,288.48,0.000825,6.34,0.051591,104.53,0.051591,345.47,0.059816,45.00
